id,prefecture_id,name,yomi,
319,5,南秋田郡八郎潟町,ミナミアキタグンハチロウガタマチ,319
320,5,山本郡三種町,ヤマモトグンミタネチョウ,320
321,5,雄勝郡羽後町,オガチグンウゴマチ,321
322,5,男鹿市,オガシ,322
323,5,秋田市,アキタシ,323
324,5,能代市,ノシロシ,324
325,5,南秋田郡井川町,ミナミアキタグンイカワマチ,325
326,5,鹿角市,カヅノシ,326
327,5,潟上市,カタガミシ,327
328,5,山本郡八峰町,ヤマモトグンハッポウチョウ,328
329,5,にかほ市,ニカホシ,329
330,5,大仙市,ダイセンシ,330
331,5,南秋田郡大潟村,ミナミアキタグンオオガタムラ,331
332,5,北秋田市,キタアキタシ,332
333,6,西村山郡西川町,ニシムラヤマグンニシカワマチ,333
334,6,東田川郡庄内町,ヒガシタガワグンショウナイマチ,334
335,6,寒河江市,サガエシ,335
336,6,最上郡最上町,モガミグンモガミマチ,336
337,6,上山市,カミノヤマシ,337
338,6,長井市,ナガイシ,338
339,6,西村山郡大江町,ニシムラヤマグンオオエマチ,339
340,6,天童市,テンドウシ,340
341,6,北村山郡大石田町,キタムラヤマグンオオイシダマチ,341
342,6,西村山郡朝日町,ニシムラヤマグンアサヒマチ,342
343,6,最上郡大蔵村,モガミグンオオクラムラ,343
344,6,東村山郡中山町,ヒガシムラヤマグンナカヤママチ,344
345,6,最上郡鮭川村,モガミグンサケガワムラ,345
346,6,東村山郡山辺町,ヒガシムラヤマグンヤマノベマチ,346
347,6,山形市,ヤマガタシ,347
348,6,酒田市,サカタシ,348
349,6,東田川郡三川町,ヒガシタガワグンミカワマチ,349
350,6,村山市,ムラヤマシ,350
351,6,尾花沢市,オバナザワシ,351
352,6,最上郡金山町,モガミグンカネヤママチ,352
353,6,東置賜郡高畠町,ヒガシオキタマグンタカハタマチ,353
354,6,西村山郡河北町,ニシムラヤマグンカホクチョウ,354
355,6,米沢市,ヨネザワシ,355
356,6,東根市,ヒガシネシ,356
357,6,新庄市,シンジョウシ,357
358,6,東置賜郡川西町,ヒガシオキタマグンカワニシマチ,358
359,6,飽海郡遊佐町,アクミグンユザマチ,359
360,6,最上郡戸沢村,モガミグントザワムラ,360
361,6,最上郡真室川町,モガミグンマムロガワマチ,361
362,6,西置賜郡小国町,ニシオキタマグンオグニマチ,362
363,6,南陽市,ナンヨウシ,363
364,6,西置賜郡飯豊町,ニシオキタマグンイイデマチ,364
365,6,最上郡舟形町,モガミグンフナガタマチ,365
366,6,西置賜郡白鷹町,ニシオキタマグンシラタカマチ,366
367,6,鶴岡市,ツルオカシ,367
368,7,双葉郡川内村,フタバグンカワウチムラ,368
